split,filename,width,height,aspect_ratio,num_annotations,has_pothole
train,img-100_jpg.rf.dff079d3072b5c59320e14c5614e7dbe.jpg,640,640,1.0,1,True
train,img-101_jpg.rf.b313b26889edae5760f805dcd017f90a.jpg,640,640,1.0,2,True
train,img-102_jpg.rf.22e0412d6e95e2c48ac1769f6c2a8bf4.jpg,640,640,1.0,1,True
train,img-103_jpg.rf.a0bf7c43524b6da392eddcf84e22f0b3.jpg,640,640,1.0,1,True
train,img-105_jpg.rf.ed3fae15f4428d111d94bcc5be380030.jpg,640,640,1.0,2,True
train,img-106_jpg.rf.06ca1dbcddb736965d6d74377d2d866a.jpg,640,640,1.0,2,True
train,img-107_jpg.rf.b699d11b1f727c2cba334f6a719b2753.jpg,640,640,1.0,1,True
train,img-109_jpg.rf.11644283a1d2339a5826082c93020564.jpg,640,640,1.0,3,True
train,img-10_jpg.rf.2e100826fee939c2cc5162e2b1431fa2.jpg,640,640,1.0,1,True
train,img-110_jpg.rf.c7bb5b915179da0d7e201dcf393cb2fd.jpg,640,640,1.0,2,True
train,img-112_jpg.rf.24c8076efcd6e019cd7d7323aa9fc91d.jpg,640,640,1.0,1,True
train,img-113_jpg.rf.90d6690c554a2991e1b9d51fe22d96a5.jpg,640,640,1.0,1,True
train,img-114_jpg.rf.607d005de10ec7f109d6f463a1cb72f3.jpg,640,640,1.0,1,True
train,img-115_jpg.rf.fc830ab6415e7656e5eb91dba25d1b03.jpg,640,640,1.0,1,True
train,img-117_jpg.rf.d00ac9a0dfd7c9136f69f1ade9dbe844.jpg,640,640,1.0,2,True
train,img-118_jpg.rf.cd799b2c2ca01d0116ee43f27b902a28.jpg,640,640,1.0,1,True
train,img-119_jpg.rf.248cb0e6f5bff6a4522be099bb657975.jpg,640,640,1.0,2,True
train,img-11_jpg.rf.86d58084c27b4f7478290c690ee6f7bd.jpg,640,640,1.0,1,True
train,img-120_jpg.rf.7c379e377f378708e5714f009b6e8eaa.jpg,640,640,1.0,1,True
train,img-123_jpg.rf.ad612f43fd5a8cbd4fcfd592dc1056d4.jpg,640,640,1.0,1,True
train,img-126_jpg.rf.8a96e44f30b14b7d0bd91a109687c1fd.jpg,640,640,1.0,3,True
train,img-127_jpg.rf.2d83b60acc45a6560f31fb6ba49b6a08.jpg,640,640,1.0,3,True
train,img-128_jpg.rf.ab3fadd5ed428190d3ade18ac24441e8.jpg,640,640,1.0,1,True
